"period","searchVolume"
"2019-10","137000"
"2019-11","139200"
"2019-12","110900"
"2020-01","145900"
"2020-02","243200"
"2020-03","232700"
"2020-04","209000"
"2020-05","351200"
"2020-06","381500"
"2020-07","311900"
"2020-08","275000"
"2020-09","155100"
"2020-10","139500"
"2020-11","125100"
"2020-12","113700"
"2021-01","117100"
"2021-02","181900"
"2021-03","223400"
"2021-04","240700"
"2021-05","286100"
"2021-06","318400"
"2021-07","295500"
"2021-08","206300"
"2021-09","155800"
"2021-10","154600"
"2021-11","119700"
"2021-12","104400"
"2022-01","113800"
"2022-02","178900"
"2022-03","197500"
"2022-04","264100"
"2022-05","297200"
"2022-06","316300"
"2022-07","316000"
"2022-08","233700"
"2022-09","145700"
